 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"It's Up (feat. Young Thug & 21 Savage)","Drake, Young Thug, 21 Savage",140,3B,72,2026-08-10,04:38,74,"rap, melodic rap, trap, atl hip hop, hip hop","Hip Hop","100 GIGS",2024-08-30,78,3,0,29,10,10,-5,C♯/D♭,4,1qIwin7JMVuX70qN6wD8ww,"OVO/Republic",USUG12405316,yes
2,"Portland","Drake, Quavo, Travis Scott",136,3B,44,2026-08-10,03:56,70,"rap, atl hip hop, melodic rap, trap","Hip Hop","More Life",2017-03-18,93,2,0,35,20,20,-8,C♯/D♭,4,2bjwRfXMk4uRgOD9IBYl9h,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700055,yes
3,"Nonstop","Drake",155,9B,41,2026-08-10,03:58,80,"rap","Hip Hop","Scorpion",2018-06-29,91,2,1,42,10,10,-8,G,4,0TlLq3lA83rQOYtrqBqSct,"Cash Money/Drake LP6",USCM51800191,yes
4,"0 To 100 / The Catch Up","Drake",177,10A,72,2026-08-10,04:35,73,"rap","Hip Hop","0 To 100 / The Catch Up",2013-07-14,56,74,0,50,30,20,-4,B minor,4,4jtyUzZm9WLc2AdaJ1dso7,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51400222,yes
5,"Energy","Drake",172,1B,57,2026-08-10,03:01,73,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,75,38,0,55,40,50,-8,B,4,79XrkTOfV1AqySNjVlygpW,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500012,yes
6,"Legend","Drake",100,3B,56,2026-08-10,04:01,67,"rap","Hip Hop","If You're Reading This It's Too Late",2015-02-12,71,3,0,31,0,0,-8,C♯/D♭,4,1ID1QFSNNxi0hiZCNcwjUC,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500010,yes
7,"In My Feelings","Drake",91,3B,63,2026-08-10,03:37,78,"rap","Hip Hop","Scorpion",2018-06-29,84,6,0,35,10,40,-6,C♯/D♭,4,2G7V7zsVDxg1yRsu7Ew9RJ,"Cash Money/Drake LP6",USCM51800206,yes
8,"Controlla","Drake",92,3A,47,2026-08-10,04:05,77,"rap","Hip Hop","Views",2016-05-06,59,8,0,35,10,10,-11,A#/B♭ minor,4,3O8NlPh2LByMU9lSRSHedm,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600080,yes
9,"TSU","Drake",130,11B,56,2026-08-10,05:08,76,"rap","Hip Hop","Certified Lover Boy",2021-09-03,57,23,0,25,40,30,-9,A,4,4s7QLoImIwmPi9L6dq1nVW,"OVO",USUG12104404,yes
10,"Family Matters","Drake",164,3B,49,2026-08-10,07:36,73,"rap","Hip Hop","Family Matters",2024-05-03,53,0,0,23,20,30,-10,C♯/D♭,4,1wFFFzJ5EsKbBWZriAcubN,"OVO/Republic",USUG12402984,yes
11,"Keep The Family Close","Drake",88,8A,57,2026-08-10,05:28,66,"rap","Hip Hop","Views",2016-05-06,38,15,0,20,0,30,-8,A minor,3,7sBwAWyXfiIgrYQ8BaJESH,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600061,yes
12,"Tried Our Best","Drake",84,1A,30,2026-08-10,03:29,73,"rap","Hip Hop","For All The Dogs",2023-10-06,57,84,0,23,0,10,-14,G#/A♭ minor,3,3IHt4j5uAEl7iBu8Utn985,"OVO/Republic",USUG12306098,yes
13,"HYFR (Hell Ya Fucking Right)","Drake, Lil Wayne",98,6A,63,2026-08-10,03:26,76,"rap, hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,44,12,0,36,20,0,-9,G minor,3,0m1KYWlT6LhFRBDVq9UNx4,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100570,yes
14,"IDGAF (feat. Yeat)","Drake, Yeat",137,4B,67,2026-08-10,04:20,76,"rap, rage rap","Hip Hop","For All The Dogs",2023-10-06,67,5,0,14,20,10,-9,G#/A♭,4,2YSzYUF3jWqb9YP9VXmpjE,"OVO/Republic",USUG12306072,yes
15,"Massive","Drake",125,9A,67,2026-08-10,05:36,74,"rap","Hip Hop","Honestly, Nevermind",2022-06-16,50,11,2,6,0,10,-7,E minor,3,0oiv4E896TUTTeQU0cmIui,"OVO",USUG12204890,no
16,"9","Drake",100,6B,71,2026-08-10,04:15,82,"rap","Hip Hop","Views",2016-05-06,68,0,0,4,0,20,-7,A#/B♭,4,1C7KSXR2GVxknex6I4ANco,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600063,yes
17,"P power (feat. Drake)","Gunna, Drake",119,3B,59,2026-08-10,03:13,78,"melodic rap, rap","Hip Hop","DS4EVER",2022-01-07,83,2,0,20,10,30,-6,C♯/D♭,4,0lEjxUUlKqjqXrVlIHFduD,"300 Entertainment",QMCE32200042,yes
18,"Cameras / Good Ones Go Interlude - Medley","Drake",140,7A,40,2026-08-10,07:14,78,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,44,26,0,16,10,10,-11,D minor,4,2FbGlEPAjNhWvrVvlentVq,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100580,yes
19,"No Guidance (feat. Drake)","Chris Brown, Drake",93,12A,45,2026-08-10,04:20,82,"r&b, rap","R&B, Hip Hop","Indigo",2019-06-28,70,12,0,14,10,10,-7,C♯/D♭ minor,4,6XHVuErjQ4XNm6nDPVCxVX,"Chris Brown Entertainment/RCA Records",USRC11901583,yes
20,"One Dance","Drake, Wizkid, Kyla",104,3B,63,2026-08-10,02:53,93,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, jersey club","R&B, Traditional Music, Electronic, Pop, Hip Hop","Views",2016-05-06,79,1,0,37,0,30,-6,C♯/D♭,4,1zi7xx7UVEFkmKfv06H8x0,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600028,no
21,"Headlines","Drake",152,11A,57,2026-08-10,03:55,88,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,64,37,0,43,10,0,-7,F#/G♭ minor,4,6LxSe8YmdPxy095Ux6znaQ,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100290,yes
22,"Virginia Beach","Drake",120,12A,51,2026-08-10,04:11,77,"rap","Hip Hop","For All The Dogs",2023-10-06,40,11,0,20,0,10,-7,C♯/D♭ minor,4,3eP13S8D5m2cweMEg3ZDed,"OVO/Republic",USUG12306066,yes
23,"Finesse","Drake",95,5A,32,2026-08-10,03:02,75,"rap","Hip Hop","Scorpion",2018-06-29,81,13,0,30,0,10,-8,C minor,4,2WP8G2pdddDmnh1xbfKBOI,"Cash Money/Drake LP6",USCM51800225,no
24,"Teenage Fever","Drake",97,1A,28,2026-08-10,03:39,84,"rap","Hip Hop","More Life",2017-03-18,77,11,2,14,0,10,-10,G#/A♭ minor,4,6n3HGiq4v35D6eFOSwqYuo,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700048,yes
25,"All The Parties (feat. Chief Keef)","Drake, Chief Keef",125,5A,41,2026-08-10,03:38,65,"rap, chicago drill, drill","Hip Hop","For All The Dogs",2023-10-06,57,54,0,23,30,10,-10,C minor,4,1PIgY9ybyFT9uWLM5POYGY,"OVO/Republic",USUG12306081,yes
26,"Fancy","Drake, T.I., Swizz Beatz",87,5A,88,2026-08-10,05:19,76,"rap, southern hip hop, battle rap, dirty south rap, trap","Hip Hop","Thank Me Later",2010-01-01,53,33,0,28,40,30,-6,C minor,4,3fpTMuD1u3gJlVI4FadVHs,"Aspire Music Group, LLC",USCM51000256,yes
27,"Deep Pockets","Drake",78,6A,82,2026-08-10,03:42,59,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,47,48,0,37,10,60,-4,G minor,4,3IvMYBE7A3c7to1aEcfFJk,"OVO",USUG12001723,yes
28,"When To Say When","Drake",171,3B,82,2026-08-10,03:43,61,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,41,25,0,53,50,50,-7,C♯/D♭,4,5TCBWmEBrin7etRa4Lswr1,"OVO",USUG12001405,yes
29,"Chicago Freestyle (feat. Giveon)","Drake, GIVĒON",123,6B,45,2026-08-10,03:40,80,"rap, r&b","R&B, Hip Hop","Dark Lane Demo Tapes",2020-05-01,74,63,0,4,30,10,-8,A#/B♭,4,4wVOKKEHUJxHCFFNUWDn0B,"OVO",USUG12001407,yes
30,"Not You Too (feat. Chris Brown)","Drake, Chris Brown",86,8A,45,2026-08-10,04:29,84,"rap, r&b","R&B, Hip Hop","Dark Lane Demo Tapes",2020-05-01,46,34,0,32,0,0,-9,A minor,4,3Q4gttWQ6hxqWOa3tHoTNi,"OVO",USUG12001725,yes
31,"Toosie Slide","Drake",82,12A,49,2026-08-10,04:07,74,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,83,29,0,85,20,10,-9,C♯/D♭ minor,4,466cKvZn1j45IpxDdYZqdA,"OVO",USUG12001281,yes
32,"Desires (with Future)","Drake, Future",145,4A,51,2026-08-10,03:57,68,"rap, trap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,81,28,0,55,10,30,-8,F minor,4,7eYAHC0RbBF9eaqWzT34Aq,"OVO",USUG12001743,yes
33,"Time Flies","Drake",86,6B,48,2026-08-10,03:12,78,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,86,20,0,50,20,10,-6,A#/B♭,4,5H4mXWKcicuLKDn4Jy0sK7,"OVO",USUG12001728,yes
34,"D4L","Future, Drake, Young Thug",170,3B,71,2026-08-10,03:09,60,"rap, trap, melodic rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,72,1,0,82,0,30,-6,C♯/D♭,4,5fHrHoJKfCgBd35zwIBmUK,"OVO",USSM12002338,yes
35,"Losses","Drake",86,12A,57,2026-08-10,04:31,60,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,55,28,0,51,30,40,-7,C♯/D♭ minor,4,6fLVTVaHWaEfVKfEgbkf4D,"OVO",USUG12001736,yes
36,"Hours In Silence","Drake, 21 Savage",137,11A,41,2026-08-10,06:39,79,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,48,24,0,12,0,10,-11,F#/G♭ minor,4,0sSRLXxknVTQDStgU1NqpY,"OVO / Republic Records",USUG12208604,yes
37,"Love Me","Lil Wayne, Drake, Future",125,1B,63,2026-08-10,04:15,89,"rap, hip hop, trap","Hip Hop","I Am Not A Human Being II (Deluxe)",2013-01-01,67,1,0,50,0,0,-6,B,4,2XHzzp1j4IfTNp1FTn7YFg,"CM/Republic",USCM51300001,yes
38,"Come Thru","Drake",82,5B,47,2026-08-10,03:56,71,"rap","Hip Hop","Nothing Was The Same (Deluxe)",2013-01-01,56,16,0,41,10,50,-6,D#/E♭,4,3eN46sMTppXYMAyWi37wn1,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51300756,yes
39,"Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty, DaBaby, Drake",138,7B,63,2026-08-10,03:25,54,"atl hip hop, melodic rap, rap, trap, hip hop, north carolina hip hop, pop rap","Hip Hop, Pop","Lil Boat 3",2020-05-29,83,23,0,88,0,30,-4,F,4,0LEFmgIj8ABU7CelzGh5Bs,"Quality Control Music/Motown Records",USUG11902884,yes
40,"Way 2 Sexy (with Future & Young Thug)","Drake, Future, Young Thug",136,10A,60,2026-08-10,04:17,75,"rap, trap, melodic rap","Hip Hop","Certified Lover Boy",2021-09-03,80,0,0,33,10,30,-6,B minor,4,0k1WUmIRnG3xU6fvvDVfRG,"OVO",USUG12104403,yes
41,"Jumpman","Drake, Future",142,3B,55,2026-08-10,03:25,72,"rap, trap","Hip Hop","What A Time To Be Alive",2015-09-20,85,6,0,66,10,30,-7,C♯/D♭,4,27GmP9AWRs744SzKcpJsTZ,"Cash Money Records Inc.",USCM51500300,yes
42,"Change Locations","Drake, Future",138,8B,33,2026-08-10,03:40,62,"rap, trap","Hip Hop","What A Time To Be Alive",2015-09-20,79,2,0,21,30,10,-10,C,4,4gowy3WT6D1yhMLgRBlf9C,"Cash Money Records Inc.",USCM51500299,yes
43,"N 2 Deep","Drake, Future",91,10B,43,2026-08-10,04:33,72,"rap, trap","Hip Hop","Certified Lover Boy",2021-09-03,51,5,0,7,30,10,-8,D,3,34D6FJysnQioVingDKufuf,"OVO",USUG12104405,yes
44,"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage",166,8B,67,2026-08-10,03:38,82,"rap, atl hip hop, hip hop","Hip Hop","Honestly, Nevermind",2022-06-17,53,0,0,37,10,0,-5,C,4,3F5CgOj3wFlRv51JsHbxhe,"OVO",USUG12204897,yes
45,"Passionfruit","Drake",112,1B,46,2026-08-10,04:58,90,"rap","Hip Hop","More Life",2017-03-18,81,26,9,36,0,10,-11,B,4,5mCPDVBb16L4XQwDdbRUpz,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700072,yes
46,"Marvins Room","Drake",112,8A,26,2026-08-10,05:47,82,"rap","Hip Hop","Take Care (Deluxe)",2011-11-15,49,65,0,31,0,0,-17,A minor,5,047fCsbO4NdmwCBn8pcUXl,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100267,yes
47,"Fair Trade (with Travis Scott)","Drake, Travis Scott",168,3B,47,2026-08-10,04:51,83,"rap","Hip Hop","Certified Lover Boy",2021-09-03,67,5,0,29,20,20,-9,C♯/D♭,4,40iJIUlhi6renaREYGeIDS,"OVO",USUG12104402,yes
48,"Laugh Now Cry Later (feat. Lil Durk)","Drake, Lil Durk",134,8B,52,2026-08-10,04:21,80,"rap, chicago drill, drill","Hip Hop","Laugh Now Cry Later (feat. Lil Durk)",2020-08-14,76,24,0,52,10,10,-9,C,4,2SAqBLGA283SUiwJ3xOUVI,"OVO",USUG12001748,yes
49,"Free Spirit (feat. Rick Ross)","Drake, Rick Ross",100,3B,75,2026-08-10,04:12,60,"rap, southern hip hop","Hip Hop","Care Package",2019-08-02,51,28,0,23,30,10,-5,C♯/D♭,3,18t8ypY0HYaQuGBxg2KdT2,"OVO",USUG11902755,yes
50,"You Broke My Heart","Drake",121,3A,70,2026-08-10,03:50,77,"rap","Hip Hop","For All The Dogs Scary Hours Edition",2023-11-17,47,20,0,28,0,30,-5,A#/B♭ minor,4,5Se32hEA9raeboZerywxka,"OVO/Republic",USUG12309646,yes
51,"I'm On One","DJ Khaled, Drake, Rick Ross, Lil Wayne",149,10A,81,2026-08-10,04:56,79,"hip hop, miami hip hop, pop rap, rap, southern hip hop","Hip Hop, Pop","We The Best Forever",2011-01-01,41,5,0,44,30,60,-3,B minor,4,608a1wIsSd5KzMEqm1O7w3,"Cash Money",USCM51100126,yes
52,"Search & Rescue","Drake",140,3A,44,2026-08-10,04:32,76,"rap","Hip Hop","Search & Rescue",2023-04-07,83,8,0,53,0,30,-9,A#/B♭ minor,4,7aRCf5cLOFN1U7kvtChY1G,"OVO/Republic Records",USUG12301601,yes
53,"Hotline Bling","Drake",135,10B,63,2026-08-10,04:27,86,"rap","Hip Hop","Views",2016-05-06,89,0,0,55,0,0,-8,D,4,0wwPcA6wtMf6HUMpIRdeP7,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500238,no
54,"Best I Ever Had","Drake",162,3B,92,2026-08-10,04:17,82,"rap","Hip Hop","So Far Gone",2009-00-00,40,19,0,56,30,10,-2,C♯/D♭,4,3QLjDkgLh9AOEHlhQtDuhs,"Young Money/Cash Money Records",USCM51900161,yes
55,"Hold On, We're Going Home","Drake, Majid Jordan",100,11A,41,2026-08-10,03:47,85,"rap, canadian contemporary r&b, canadian hip hop","R&B, Hip Hop","Nothing Was The Same (Deluxe)",2013-01-01,77,0,0,29,10,0,-7,F#/G♭ minor,4,6jdOi5U5LBzQrc4c1VT983,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51300762,no
56,"Jumbotron Shit Poppin","Drake",99,11A,57,2026-08-10,02:17,68,"rap","Hip Hop","Her Loss",2022-11-04,79,23,0,31,20,20,-6,F#/G♭ minor,4,2ZlABhxMMa43COmZ97kKsJ,"OVO / Republic Records",USUG12208610,yes
57,"Yes Indeed","Lil Baby, Drake",120,4A,35,2026-08-10,02:22,79,"atl hip hop, atl trap, rap, trap","Hip Hop","Harder Than Ever",2018-05-18,96,4,0,56,50,10,-9,F minor,4,6vN77lE9LK6HP2DewaN6HZ,"Quality Control Music, LLC",USUM71806749,yes
58,"What’s Next","Drake",130,5A,59,2026-08-10,02:58,71,"rap","Hip Hop","Scary Hours 2",2021-03-05,78,1,0,6,0,10,-7,C minor,4,3aQem4jVGdhtg116TmJnHz,"OVO",USUG12101041,yes
59,"Oh U Went (feat. Drake)","Young Thug, Drake",136,6A,79,2026-08-10,03:05,70,"rap, melodic rap, trap","Hip Hop","BUSINESS IS BUSINESS",2023-06-23,81,5,0,47,20,0,-6,G minor,4,7qLr3HMApUbyDkUvgIvHnB,"300 Entertainment/Atl",USAT22306750,yes
60,"No Face","Drake",126,6B,69,2026-08-10,02:17,76,"rap","Hip Hop","No Face",2024-08-31,85,8,0,47,0,0,-6,A#/B♭,4,1560osUcXrnov6yuOjXvc1,"OVO",USUG12405322,yes
61,"Money In The Grave (Drake ft. Rick Ross)","Drake, Rick Ross",101,3A,50,2026-08-10,03:25,78,"rap, southern hip hop","Hip Hop","The Best In The World Pack",2019-06-15,83,10,0,10,0,10,-4,A#/B♭ minor,4,5ry2OE6R2zPQFDO85XkgRb,"Republic Records",USCM51900318,yes
62,"Do Not Disturb","Drake",171,6A,69,2026-08-10,04:43,79,"rap","Hip Hop","More Life",2017-03-18,62,25,0,45,40,10,-6,G minor,4,2KvHC9z14GSl4YpkNMX384,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700049,yes
63,"Solid (feat. Drake)","Young Stoner Life, Young Thug, Gunna, Drake",126,10A,49,2026-08-10,03:35,73,"pop rap, rap, melodic rap, trap","Hip Hop, Pop","Slime Language 2",2021-04-16,89,4,0,33,20,10,-9,B minor,4,6rTInqW3YECMkQsBEHw4sd,"300 Entertainment",QMCE32100237,yes
64,"Blue Tint","Drake",134,6A,37,2026-08-10,02:42,65,"rap","Hip Hop","Scorpion",2018-06-29,89,1,0,12,30,10,-10,G minor,4,4n1bdaKwynQndm47x5HqWX,"Cash Money/Drake LP6",USCM51800201,yes
65,"Demons (feat. Fivio Foreign & Sosa Geek)","Drake, Fivio Foreign, Sosa Geek",107,5A,77,2026-08-10,03:24,57,"rap, brooklyn drill, new york drill, drill, uk drill","Hip Hop","Dark Lane Demo Tapes",2020-05-01,54,42,0,73,30,10,-3,C minor,3,05aZ9sAU1YXndHv0FMi9iW,"OVO",USUG12001740,yes
66,"Landed","Drake",164,9B,64,2026-08-10,02:32,61,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,88,1,0,72,20,10,-5,G,4,3KixNgUEaDtrKJVzdqjU5q,"OVO",USUG12001730,yes
67,"From Florida With Love","Drake",81,11A,48,2026-08-10,03:54,62,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,79,77,0,48,20,10,-8,F#/G♭ minor,4,0YkUwXxnTkeJBvt5upeEtP,"OVO",USUG12001738,yes
68,"War","Drake",144,3A,79,2026-08-10,03:00,61,"rap","Hip Hop","Dark Lane Demo Tapes",2020-05-01,75,29,0,24,0,10,-4,A#/B♭ minor,4,1I55Ea0zVoSKs6MqW7DQ3i,"OVO",USUG12001409,yes
69,"Work","Rihanna, Drake",92,1B,53,2026-08-10,03:39,84,"barbadian pop, pop, urban contemporary, rap","Pop, Hip Hop, R&B","ANTI (Deluxe)",2016-01-28,72,7,0,55,0,0,-6,B,4,72TFWvU3wUYdUuxejTTIzt,"Roc Nation / Rihanna",QM5FT1600116,yes
70,"Over The Top (feat. Drake)","Smiley, Drake",140,3A,50,2026-08-10,02:33,67,"canadian hip hop, rap","Hip Hop","Over The Top (feat. Drake)",2021-07-23,83,5,0,26,10,10,-5,A#/B♭ minor,4,1aQjCPrIvQm5cfY7FhAOhq,"OVO Sound",USWB12102367,yes
71,"No Friends In The Industry","Drake",84,3B,74,2026-08-10,03:24,72,"rap","Hip Hop","Certified Lover Boy",2021-09-03,84,2,0,17,10,60,-5,C♯/D♭,4,2tUL6dZf1mywCj5WvCPZw6,"OVO",USUG12104408,yes
72,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby, Gunna, Drake",132,12A,69,2026-08-10,03:14,78,"atl hip hop, atl trap, rap, trap, melodic rap","Hip Hop","Drip Harder",2018-10-05,75,7,0,89,20,10,-5,C♯/D♭ minor,4,6wWaVoUOzLQJHd3bWAUpdZ,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",USUG11801946,yes
73,"Betrayal (feat. Drake)","Trippie Redd, Drake",158,4B,56,2026-08-10,02:32,56,"melodic rap, rap","Hip Hop","Trip At Knight",2021-08-21,74,1,0,13,0,10,-7,G#/A♭,4,0XqGHtlXsdVW2n8HJ3KyeE,"1400 Entertainment, Inc. / 10K Projects",QZJ842001215,yes
74,"Papi’s Home","Drake",140,10B,74,2026-08-10,02:58,67,"rap","Hip Hop","Certified Lover Boy",2021-09-03,70,11,0,59,30,70,-6,D,4,6jy9yJfgCsMHdu2Oz4BGKX,"OVO",USUG12104398,yes
75,"Sticky","Drake",137,2B,50,2026-08-10,04:03,72,"rap","Hip Hop","Honestly, Nevermind",2022-06-17,85,9,0,8,10,0,-15,F#/G♭,4,4rmVZajAF7PkrCagGPHbqa,"OVO",USUG12204888,yes
76,"Bubbly (with Drake & Travis Scott)","Young Thug, Drake, Travis Scott",129,10A,59,2026-08-10,02:45,71,"rap, melodic rap, trap","Hip Hop","Punk",2021-10-15,91,5,0,60,20,10,-8,B minor,4,4KDNRh9Oor80z3XIxdWlui,"300 Entertainment/Atl",USAT22106845,yes
77,"Can’t Take A Joke","Drake",174,3A,60,2026-08-10,02:43,68,"rap","Hip Hop","Scorpion",2018-06-29,76,13,0,45,10,0,-7,A#/B♭ minor,4,1dUHF4RyMmMTveJ0Rby6Xm,"Cash Money/Drake LP6",USCM51800215,yes
78,"Gyalchester","Drake",131,3B,39,2026-08-10,03:09,70,"rap","Hip Hop","More Life",2017-03-18,88,3,0,12,0,0,-8,C♯/D♭,4,6UjfByV1lDLW0SOVQA4NAi,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700046,yes
79,"The Motto","Drake, Lil Wayne",202,3B,44,2026-08-10,03:01,77,"rap, hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,77,0,0,39,30,10,-9,C♯/D♭,4,4Kz4RdRCceaA9VgTqBhBfa,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51100731,yes
80,"Drama (feat. Drake)","Roy Woods, Drake",122,1B,36,2026-08-10,04:11,2,"canadian contemporary r&b, canadian hip hop, trap soul, rap","R&B, Hip Hop","Exis",2015-07-31,71,16,0,11,0,10,-10,B,4,0PXp9QxBfSKGGpWUNaws2X,"OVO Sound/Warner Records",USWB11508706,yes
81,"Wants and Needs (feat. Lil Baby)","Drake, Lil Baby",136,3B,45,2026-08-10,03:12,79,"rap, atl hip hop, atl trap, trap","Hip Hop","Scary Hours 2",2021-03-05,58,6,0,10,20,10,-6,C♯/D♭,4,65OVbaJR5O1RmwOQx0875b,"OVO",USUG12101042,yes
82,"Another Late Night (feat. Lil Yachty)","Drake, Lil Yachty",158,4A,71,2026-08-10,02:50,64,"rap, atl hip hop, melodic rap, trap","Hip Hop","For All The Dogs",2023-10-06,70,1,0,28,0,10,-5,F minor,4,17IBDpAl3J39swaoPlfGpp,"OVO/Republic",USUG12306086,yes
83,"Little Bit (feat. Lykke Li)","Drake, Lykke Li",120,10A,89,2026-08-10,03:50,74,"rap, art pop, electropop, indietronica, neo-synthpop, swedish electropop, swedish indie pop, swedish pop","Pop, Electronic, Rock, Hip Hop","So Far Gone",2009-00-00,76,10,3,77,0,60,-5,B minor,4,524wvipGqxPKYWxkjf9y46,"Young Money/Cash Money Records",USCM51900160,yes
84,"God's Plan","Drake",77,9B,45,2026-08-10,03:18,88,"rap","Hip Hop","Scorpion",2018-06-29,75,3,0,36,10,50,-9,G,4,6DCZcSspjsKoFjzjrWoCdn,"Cash Money/Drake LP6",USCM51800004,yes
85,"WAIT FOR U (feat. Drake & Tems)","Future, Drake, Tems",83,3B,64,2026-08-10,03:09,85,"rap, trap, afrobeats, afro r&b, alté, afrobeat","R&B, Traditional Music, Electronic, Hip Hop","I NEVER LIKED YOU",2022-04-29,46,31,0,34,30,0,-4,C♯/D♭,4,59nOXPmaKlBfGMDeOVGrIK,"Epic/Freebandz",USSM12203789,yes
86,"Right Hand","Drake",101,10B,30,2026-08-10,03:10,59,"rap","Hip Hop","Right Hand",2015-07-31,92,12,0,35,20,0,-8,D,4,3lSR267IJfT54p0Gfuw7mi,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500244,yes
87,"Rich Flex","Drake, 21 Savage",160,9A,52,2026-08-10,03:59,77,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,55,5,0,42,20,30,-9,E minor,4,1bDbXMyjaUIooNwFE9wn0N,"OVO / Republic Records",USUG12208598,yes
88,"Major Distribution","Drake, 21 Savage",131,1B,54,2026-08-10,02:50,67,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,91,1,0,23,30,0,-10,B,4,46s57QULU02Voy0Kup6UEb,"OVO / Republic Records",USUG12208599,yes
89,"On BS","Drake, 21 Savage",158,11B,37,2026-08-10,04:21,72,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,84,2,0,36,60,10,-7,A,4,34tz0eDhGuFErIuW3q4mPX,"OVO / Republic Records",USUG12208600,yes
90,"BackOutsideBoyz","Drake",142,4A,43,2026-08-10,02:32,64,"rap","Hip Hop","Her Loss",2022-11-04,85,5,0,46,30,30,-8,F minor,4,0wshkEEcJUQU33RSRBb5dv,"OVO / Republic Records",USUG12208601,yes
91,"Privileged Rappers","Drake, 21 Savage",144,7B,60,2026-08-10,02:40,69,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,93,0,0,65,10,10,-8,F,4,7l2nxyx7IkBX5orhkALg0V,"OVO / Republic Records",USUG12208602,yes
92,"Spin Bout U","Drake, 21 Savage",130,9B,72,2026-08-10,03:34,76,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,76,1,0,23,0,10,-6,G,4,2ZL7WZcjuYKi1KUDtp4kCC,"OVO / Republic Records",USUG12208603,yes
93,"Treacherous Twins","Drake, 21 Savage",89,3A,51,2026-08-10,03:00,64,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,76,8,0,59,30,10,-7,A#/B♭ minor,4,4Flfb4fGscN9kXPOduQLrv,"OVO / Republic Records",USUG12208605,yes
94,"Circo Loco","Drake, 21 Savage",104,3B,58,2026-08-10,03:56,71,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,73,1,0,26,0,30,-9,C♯/D♭,4,7GeTsDIc5ykNB6lORO6Cee,"OVO / Republic Records",USUG12208606,yes
95,"Pussy & Millions (feat. Travis Scott)","Drake, 21 Savage, Travis Scott",122,9A,62,2026-08-10,04:02,71,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,75,6,0,38,10,30,-7,E minor,4,2KLwPaRDOB87XOYAT2fgxh,"OVO / Republic Records",USUG12208607,yes
96,"Broke Boys","Drake, 21 Savage",120,10B,53,2026-08-10,03:45,69,"rap, atl hip hop, hip hop","Hip Hop","Her Loss",2022-11-04,64,1,0,11,20,20,-7,D,4,45pUWUeEWGoSdH6UF162G8,"OVO / Republic Records",USUG12208608,yes
